date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:59:45	9338/9338	---M--	200	added ('OK')	application/javascript	date:Mon,%2007%20Jan%202019%2012:07:56%20GMT	http://ghriit.raisoni.net/NCRTCSITM/ncrtcsit2019/js/jarallax.min.js	C:/My%20Web%20Sites/conf/ghriit.raisoni.net/NCRTCSITM/ncrtcsit2019/js/jarallax.min.js	(from http://ghriit.raisoni.net/NCRTCSITM/ncrtcsit2019/)
11:59:45	85580/85580	---M--	200	added ('OK')	application/javascript	date:Mon,%2007%20Jan%202019%2012:07:56%20GMT	http://ghriit.raisoni.net/NCRTCSITM/ncrtcsit2019/js/jquery.min.js	C:/My%20Web%20Sites/conf/ghriit.raisoni.net/NCRTCSITM/ncrtcsit2019/js/jquery.min.js	(from http://ghriit.raisoni.net/NCRTCSITM/ncrtcsit2019/)
11:59:45	2008/2008	---M--	200	added ('OK')	application/javascript	date:Mon,%2007%20Jan%202019%2012:07:56%20GMT	http://ghriit.raisoni.net/NCRTCSITM/ncrtcsit2019/js/jquery.scrollUp.min.js	C:/My%20Web%20Sites/conf/ghriit.raisoni.net/NCRTCSITM/ncrtcsit2019/js/jquery.scrollUp.min.js	(from http://ghriit.raisoni.net/NCRTCSITM/ncrtcsit2019/)
11:59:46	5300/5300	---M--	200	added ('OK')	application/javascript	date:Mon,%2007%20Jan%202019%2012:07:56%20GMT	http://ghriit.raisoni.net/NCRTCSITM/ncrtcsit2019/js/map.js	C:/My%20Web%20Sites/conf/ghriit.raisoni.net/NCRTCSITM/ncrtcsit2019/js/map.js	(from http://ghriit.raisoni.net/NCRTCSITM/ncrtcsit2019/)
11:59:47	5712/5712	---M--	200	added ('OK')	application/javascript	date:Mon,%2007%20Jan%202019%2012:07:56%20GMT	http://ghriit.raisoni.net/NCRTCSITM/ncrtcsit2019/js/custom.js	C:/My%20Web%20Sites/conf/ghriit.raisoni.net/NCRTCSITM/ncrtcsit2019/js/custom.js	(from http://ghriit.raisoni.net/NCRTCSITM/ncrtcsit2019/)
11:59:51	20127/20127	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2007%20Jan%202019%2012:07:52%20GMT	http://ghriit.raisoni.net/NCRTCSITM/ncrtcsit2019/fonts/glyphicons-halflings-regular.eot	C:/My%20Web%20Sites/conf/ghriit.raisoni.net/NCRTCSITM/ncrtcsit2019/fonts/glyphicons-halflings-regular.eot	(from http://ghriit.raisoni.net/NCRTCSITM/ncrtcsit2019/css/bootstrap.min.css)
11:59:52	18028/18028	---M--	200	added ('OK')	font/woff2	date:Mon,%2007%20Jan%202019%2012:07:53%20GMT	http://ghriit.raisoni.net/NCRTCSITM/ncrtcsit2019/fonts/glyphicons-halflings-regular.woff2	C:/My%20Web%20Sites/conf/ghriit.raisoni.net/NCRTCSITM/ncrtcsit2019/fonts/glyphicons-halflings-regular.woff2	(from http://ghriit.raisoni.net/NCRTCSITM/ncrtcsit2019/css/bootstrap.min.css)
11:59:52	20127/20127	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2007%20Jan%202019%2012:07:53%20GMT	http://ghriit.raisoni.net/NCRTCSITM/ncrtcsit2019/fonts/glyphicons-halflings-regulard41d.eot?	C:/My%20Web%20Sites/conf/ghriit.raisoni.net/NCRTCSITM/ncrtcsit2019/fonts/glyphicons-halflings-regulard41dd41d.eot	(from http://ghriit.raisoni.net/NCRTCSITM/ncrtcsit2019/css/bootstrap.min.css)
11:59:55	108738/108738	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2007%20Jan%202019%2012:07:52%20GMT	http://ghriit.raisoni.net/NCRTCSITM/ncrtcsit2019/fonts/glyphicons-halflings-regular.svg	C:/My%20Web%20Sites/conf/ghriit.raisoni.net/NCRTCSITM/ncrtcsit2019/fonts/glyphicons-halflings-regular.svg	(from http://ghriit.raisoni.net/NCRTCSITM/ncrtcsit2019/css/bootstrap.min.css)
11:59:56	23424/23424	---M--	200	added ('OK')	font/woff	date:Mon,%2007%20Jan%202019%2012:07:53%20GMT	http://ghriit.raisoni.net/NCRTCSITM/ncrtcsit2019/fonts/glyphicons-halflings-regular.woff	C:/My%20Web%20Sites/conf/ghriit.raisoni.net/NCRTCSITM/ncrtcsit2019/fonts/glyphicons-halflings-regular.woff	(from http://ghriit.raisoni.net/NCRTCSITM/ncrtcsit2019/css/bootstrap.min.css)
